token	total	files	properties
--color-lit-ld-e2fd553d	1	frontend/src/ui/primitives/FilterMenu.css(1)	background(1)
--color-lit-ld-e3402a65	1	frontend/src/pages/StorybookPage.css(1)	color(1)
--color-lit-ld-e3eb2eb1	1	frontend/src/ui/primitives/FilterMenu.css(1)	box-shadow(1)
--color-lit-ld-e450a064	1	frontend/src/ui/layout/Panel.css(1)	background(1)
--color-lit-ld-eb2081fc	1	frontend/src/ui/primitives/ActionButton.css(1)	box-shadow(1)
--color-lit-ld-eca41bb9	1	frontend/src/ui/primitives/Switch.css(1)	background(1)
--color-lit-ld-edf3e31a	1	frontend/src/pages/StorybookPage.css(1)	border(1)
--color-lit-ld-eead3d40	1	frontend/src/ui/primitives/ActionButton.css(1)	box-shadow(1)
--color-lit-ld-f0711097	1	frontend/src/ui/primitives/NodeChip.css(1)	background(1)
--color-lit-ld-f118821a	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-f28addc2	1	frontend/src/ui/primitives/NodeChip.css(1)	background(1)
--color-lit-ld-f329f939	1	frontend/src/ui/layout/Panel.css(1)	background(1)
--color-lit-ld-f394e349	1	frontend/src/components/inspector/InspectorPanel.css(1)	--inspector-accent(1)
--color-lit-ld-f726ec88	1	frontend/src/components/timeline/RecordingTimeline.css(1)	border-color(1)
--color-lit-ld-f79ea81a	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-fc06fffa	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-ffa8dbee	1	frontend/src/components/timeline/RecordingTimeline.css(1)	background(1)
--color-lit-rgb-05954929	1	frontend/src/ui/primitives/SearchInput.css(1)	box-shadow(1)
